"","",""
"Tool name","SW Wiki page","Repository"
"UMLS2RDF","http://www.w3.org/2001/sw/wiki/Umls2rdf","https://github.com/ncbo/umls2rdf"
"Protege","http://www.w3.org/2001/sw/wiki/Protege",""
"Tabels","http://www.w3.org/2001/sw/wiki/Tabels",""
