dataset,created,modified
http://thedatahub.org/dataset/national-diet-library-authorities,2011-07-07T04:46:23.734147,2012-03-07T08:48:40.227930
http://thedatahub.org/dataset/enakting-crime,2010-09-11T17:36:10.791619,2011-09-06T15:38:05.000442
http://thedatahub.org/dataset/tags2con-delicious,2010-12-23T23:05:24.540813,2011-09-06T15:41:44.935385
http://thedatahub.org/dataset/lobid-resources,2010-09-03T10:35:23.437015,2013-03-20T08:25:34.217932
http://thedatahub.org/dataset/sears,2011-09-02T11:26:37.877425,2011-10-25T13:53:52.398445
http://thedatahub.org/dataset/manchester-university-reading-lists,2010-09-08T23:19:24.075783,2011-07-21T13:35:52.767711
http://thedatahub.org/dataset/rkb-explorer-resex,2010-08-23T13:46:41.378923,2012-07-04T21:33:13.384808
http://thedatahub.org/dataset/meducator,2011-07-13T10:35:19.850106,2012-11-24T16:16:02.683848
http://thedatahub.org/dataset/libris,2010-08-29T17:25:28.911419,2011-11-11T19:35:00.506743
http://thedatahub.org/dataset/pleiades,2007-11-08T11:55:30,2012-05-21T16:51:28.046943
http://thedatahub.org/dataset/secold,2011-01-28T22:33:38.271815,2011-07-20T20:22:08.682530
http://thedatahub.org/dataset/bible-ontology,2010-12-14T05:05:46.170964,2013-02-16T05:23:08.121663
http://thedatahub.org/dataset/world-factbook-fu-berlin,2010-07-28T00:03:30.033510,2011-08-10T12:51:11.171437
http://thedatahub.org/dataset/uniref,2010-08-30T15:49:50.169396,2012-09-05T05:29:15.927329
http://thedatahub.org/dataset/enakting-population,2010-09-13T08:31:24.222720,2011-07-20T22:27:48.711104
http://thedatahub.org/dataset/rkb-explorer-unlocode,2010-08-23T13:46:47.266794,2012-07-04T21:20:03.313444
http://thedatahub.org/dataset/italian-public-schools-linkedopendata-it,2011-03-01T11:22:23.032274,2012-12-18T16:03:10.096955
http://thedatahub.org/dataset/linked-open-vocabularies-lov,2011-04-11T14:15:03.337840,2012-07-17T15:29:25.095633
http://thedatahub.org/dataset/fao-linked-data,2013-02-15T00:34:09.822442,2013-02-21T12:51:11.590413
http://thedatahub.org/dataset/london-gazette,2008-07-07T12:32:28,2011-08-15T16:50:58.903383
http://thedatahub.org/dataset/ecco-tcp-linked-data,2011-08-24T07:53:29.852481,2011-10-20T10:52:42.366654
http://thedatahub.org/dataset/bricklink,2011-07-15T10:52:37.765387,2011-10-20T10:45:37.656726
http://thedatahub.org/dataset/fu-berlin-drugbank,2010-08-02T14:18:44.547208,2011-07-24T11:51:28.658202
http://thedatahub.org/dataset/fao-geopolitical-ontology,2011-03-03T14:32:11.045810,2012-09-19T17:56:22.224625
http://thedatahub.org/dataset/nvd,2011-05-04T12:20:37.328266,2011-09-08T12:24:28.965793
http://thedatahub.org/dataset/st-andrews-resource-lists,2010-09-08T23:13:49.663027,2011-07-20T20:07:54.404020
http://thedatahub.org/dataset/ontos-news-portal,2010-12-14T13:03:13.086954,2013-03-15T10:11:44.096134
http://thedatahub.org/dataset/agrovoc-skos,2010-09-07T08:57:40.040957,2012-03-07T08:42:16.162101
http://thedatahub.org/dataset/klappstuhlclub,2011-09-09T07:53:14.447832,2011-10-05T15:32:01.037585
http://thedatahub.org/dataset/vivo-cornell-university,2010-09-10T09:24:35.675906,2012-02-13T15:21:44.707183
http://thedatahub.org/dataset/telegraphis,2009-10-27T19:02:15.036638,2011-07-24T11:58:50.068443
http://thedatahub.org/dataset/chronicling-america,2010-09-09T22:20:44.225742,2012-01-26T09:53:50.661565
http://thedatahub.org/dataset/rkb-explorer-kisti,2010-08-23T12:33:27.357266,2012-07-04T21:31:09.848291
http://thedatahub.org/dataset/data-gov-uk-time-intervals,2010-09-06T09:19:50.444811,2011-08-15T16:35:39.912248
http://thedatahub.org/dataset/amsterdam-museum-as-edm-lod,2011-02-17T11:01:28.177354,2013-01-29T12:01:49.831279
http://thedatahub.org/dataset/data-incubator-smcjournals,2011-08-13T14:28:41.890166,2012-01-26T09:54:53.123533
http://thedatahub.org/dataset/bio2rdf-ncbi-gene,2010-08-29T18:44:48.034755,2012-09-08T06:43:42.154386
http://thedatahub.org/dataset/chem2bio2rdf,2010-09-07T19:59:36.350514,2011-07-24T11:53:30.381113
http://thedatahub.org/dataset/loius,2010-09-07T21:15:05.452113,2011-10-21T16:53:22.156874
http://thedatahub.org/dataset/ntnusc,2011-07-14T09:44:46.015352,2011-09-13T11:11:06.113158
http://thedatahub.org/dataset/istat-immigration,2011-06-16T09:19:36.910859,2011-09-05T16:43:05.611490
http://thedatahub.org/dataset/dbtune-magnatune,2009-10-27T19:02:00.593436,2011-07-20T20:55:57.951353
http://thedatahub.org/dataset/southampton-ecs-eprints,2010-09-02T20:24:12.708812,2012-01-26T09:59:00.345024
http://thedatahub.org/dataset/eu-institutions,2011-06-29T11:53:00.549721,2012-08-07T07:34:14.255811
http://thedatahub.org/dataset/uk-legislation-api,2009-09-23T15:41:38.199448,2012-04-30T01:11:58.606301
http://thedatahub.org/dataset/rkb-explorer-ieee,2010-08-23T13:45:00.836912,2012-07-04T21:06:03.759662
http://thedatahub.org/dataset/dbtune-john-peel-sessions,2009-10-27T19:00:06.836614,2011-07-20T21:06:06.627690
http://thedatahub.org/dataset/my-experiment,2010-09-07T17:56:16.979690,2011-09-06T15:29:37.701869
http://thedatahub.org/dataset/the-view-from,2010-09-16T10:19:44.179894,2011-07-24T11:56:18.083518
http://thedatahub.org/dataset/core,2011-07-13T21:44:16.172142,2012-09-03T12:37:11.251419
http://thedatahub.org/dataset/bio2rdf-hgnc,2010-08-30T09:20:35.485776,2013-03-06T04:01:21.369734
http://thedatahub.org/dataset/w3c-wordnet,2010-09-01T10:42:48.420434,2011-08-10T12:52:16.989810
http://thedatahub.org/dataset/linked-edgar,2011-04-14T16:32:42.926701,2011-09-06T15:32:18.620282
http://thedatahub.org/dataset/sztaki-lod,2011-10-12T15:06:21.091482,2011-11-23T07:59:58.030688
http://thedatahub.org/dataset/sudocfr,2011-07-05T10:04:28.721449,2012-11-27T23:46:27.184988
http://thedatahub.org/dataset/rkb-explorer-wiki,2010-08-23T13:46:50.069210,2012-07-04T21:32:43.491288
http://thedatahub.org/dataset/printed-book-auction-catalogues,2010-09-17T01:08:01.637137,2012-09-19T17:44:56.323907
http://thedatahub.org/dataset/lexvo,2009-10-27T19:01:58.369336,2012-09-19T17:38:27.268770
http://thedatahub.org/dataset/rdf-book-mashup,2010-08-25T10:48:37.939173,2011-07-23T14:27:06.941113
http://thedatahub.org/dataset/scholarometer,2011-03-21T23:56:36.438180,2012-05-02T22:03:11.047445
http://thedatahub.org/dataset/libver,2012-09-02T11:36:57.195384,2012-09-26T11:00:26.699483
http://thedatahub.org/dataset/courts-thesaurus,2012-11-26T13:01:23.343924,2013-02-17T12:00:46.052825
