Term,Term Type,Count,Query,Query DateTime
http://www.w3.org/ns/prov#invalidatedAtTime,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23invalidatedAtTime%3e%20%5b%5d%7d&output=csv,2014-02-20T16:29:09+00:00
http://www.w3.org/ns/prov#qualifiedInvalidation,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedInvalidation%3e%20%5b%5d%7d&output=csv,2014-02-20T16:29:20+00:00
http://www.w3.org/ns/prov#qualifiedInsertion,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedInsertion%3e%20%5b%5d%7d&output=csv,2014-02-20T16:29:41+00:00
http://www.w3.org/ns/prov#insertedKeyEntityPair,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23insertedKeyEntityPair%3e%20%5b%5d%7d&output=csv,2014-02-20T16:30:02+00:00
http://www.w3.org/ns/prov#generated,property,214,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23generated%3e%20%5b%5d%7d&output=csv,2014-02-20T16:30:45+00:00
http://www.w3.org/ns/prov#wasGeneratedBy,property,33,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23wasGeneratedBy%3e%20%5b%5d%7d&output=csv,2014-02-20T16:30:56+00:00
http://www.w3.org/ns/prov#pairKey,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23pairKey%3e%20%5b%5d%7d&output=csv,2014-02-20T16:31:17+00:00
http://www.w3.org/ns/prov#has_provenance,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23has_provenance%3e%20%5b%5d%7d&output=csv,2014-02-20T16:31:38+00:00
http://www.w3.org/ns/prov#has_query_service,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23has_query_service%3e%20%5b%5d%7d&output=csv,2014-02-20T16:31:49+00:00
http://www.w3.org/ns/prov#hadRole,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23hadRole%3e%20%5b%5d%7d&output=csv,2014-02-20T16:31:59+00:00
http://www.w3.org/ns/prov#derivedByRemovalFrom,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23derivedByRemovalFrom%3e%20%5b%5d%7d&output=csv,2014-02-20T16:32:31+00:00
http://www.w3.org/ns/prov#provenanceUriTemplate,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23provenanceUriTemplate%3e%20%5b%5d%7d&output=csv,2014-02-20T16:32:41+00:00
http://www.w3.org/ns/prov#qualifiedQuotation,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedQuotation%3e%20%5b%5d%7d&output=csv,2014-02-20T16:32:52+00:00
http://www.w3.org/ns/prov#removedKey,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23removedKey%3e%20%5b%5d%7d&output=csv,2014-02-20T16:33:13+00:00
