Term,Local Name,Term Type,Count,Query,Query DateTime
http://www.w3.org/ns/prov#RightsHolder,RightsHolder,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23RightsHolder%3e%7d&output=csv,2014-02-20T16:31:07+00:00
http://www.w3.org/ns/prov#EntityInfluence,EntityInfluence,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23EntityInfluence%3e%7d&output=csv,2014-02-20T16:31:28+00:00
http://www.w3.org/ns/prov#Location,Location,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Location%3e%7d&output=csv,2014-02-20T16:32:10+00:00
http://www.w3.org/ns/prov#Activity,Activity,class,214,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Activity%3e%7d&output=csv,2014-02-20T16:32:20+00:00
http://www.w3.org/ns/prov#Quotation,Quotation,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Quotation%3e%7d&output=csv,2014-02-20T16:33:02+00:00
http://www.w3.org/ns/prov#Modify,Modify,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Modify%3e%7d&output=csv,2014-02-20T16:33:34+00:00
http://www.w3.org/ns/prov#RightsAssignment,RightsAssignment,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23RightsAssignment%3e%7d&output=csv,2014-02-20T16:33:45+00:00
http://www.w3.org/ns/prov#KeyEntityPair,KeyEntityPair,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23KeyEntityPair%3e%7d&output=csv,2014-02-20T16:34:27+00:00
http://www.w3.org/ns/prov#Delegation,Delegation,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Delegation%3e%7d&output=csv,2014-02-20T16:34:38+00:00
http://www.w3.org/ns/prov#Influence,Influence,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Influence%3e%7d&output=csv,2014-02-20T16:34:49+00:00
http://www.w3.org/ns/prov#Association,Association,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Association%3e%7d&output=csv,2014-02-20T16:37:00+00:00
http://www.w3.org/ns/prov#Person,Person,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Person%3e%7d&output=csv,2014-02-20T16:37:21+00:00
http://www.w3.org/ns/prov#Contributor,Contributor,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Contributor%3e%7d&output=csv,2014-02-20T16:37:32+00:00
http://www.w3.org/ns/prov#Communication,Communication,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Communication%3e%7d&output=csv,2014-02-20T16:37:42+00:00
http://www.w3.org/ns/prov#Dictionary,Dictionary,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Dictionary%3e%7d&output=csv,2014-02-20T16:37:53+00:00
http://www.w3.org/ns/prov#Invalidation,Invalidation,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Invalidation%3e%7d&output=csv,2014-02-20T16:38:25+00:00
http://www.w3.org/ns/prov#Role,Role,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Role%3e%7d&output=csv,2014-02-20T16:38:36+00:00
